property_id,location,price,bedrooms,property_type,amenities,description
P0,Delhi,5400000,3,Apartment,"Gym, Parking, Swimming Pool",A 3 BHK Plot in Delhi with Gym and Parking and Swimming Pool.
P1,Chennai,7600000,4,Villa,"Swimming Pool, Gym, Garden",A 4 BHK Plot in Chennai with Swimming Pool and Gym and Garden.
P2,Ahmedabad,17700000,1,Plot,"Swimming Pool, School nearby",A 1 BHK Plot in Ahmedabad with Swimming Pool and School nearby.
P3,Ahmedabad,17100000,3,Villa,"Swimming Pool, Garden, Gym, School nearby",A 3 BHK Plot in Ahmedabad with Swimming Pool and Garden and Gym and School nearby.
P4,Kolkata,3200000,1,Villa,"Gym, Swimming Pool",A 1 BHK Villa in Kolkata with Gym and Swimming Pool.
P5,Jaipur,14200000,5,Apartment,"Swimming Pool, Garden, Gym",A 5 BHK Apartment in Jaipur with Swimming Pool and Garden and Gym.
P6,Chennai,3400000,5,Apartment,"School nearby, Parking, Garden",A 5 BHK Villa in Chennai with School nearby and Parking and Garden.
P7,Lucknow,16700000,5,Villa,"Gym, School nearby",A 5 BHK Apartment in Lucknow with Gym and School nearby.
P8,Jaipur,5800000,1,Plot,"Parking, Gym, School nearby, Garden",A 1 BHK Villa in Jaipur with Parking and Gym and School nearby and Garden.
P9,Hyderabad,18200000,2,Plot,"Parking, Gym",A 2 BHK Plot in Hyderabad with Parking and Gym.
P10,Delhi,7500000,2,Plot,"Parking, Swimming Pool",A 2 BHK Plot in Delhi with Parking and Swimming Pool.
P11,Bangalore,13400000,5,Villa,"Swimming Pool, Parking, School nearby",A 5 BHK Villa in Bangalore with Swimming Pool and Parking and School nearby.
P12,Chennai,13700000,2,Apartment,"Gym, Metro access",A 2 BHK Apartment in Chennai with Gym and Metro access.
P13,Jaipur,9400000,4,Plot,"Parking, Gym",A 4 BHK Plot in Jaipur with Parking and Gym.
P14,Jaipur,15800000,4,Villa,"Garden, Parking, School nearby",A 4 BHK Villa in Jaipur with Garden and Parking and School nearby.
P15,Pune,10400000,2,Villa,"Metro access, Gym",A 2 BHK Plot in Pune with Metro access and Gym.
P16,Lucknow,18400000,4,Plot,"Garden, Gym, School nearby, Swimming Pool",A 4 BHK Plot in Lucknow with Garden and Gym and School nearby and Swimming Pool.
P17,Bangalore,11300000,5,Apartment,"Gym, School nearby",A 5 BHK Apartment in Bangalore with Gym and School nearby.
P18,Mumbai,16100000,1,Villa,"Garden, School nearby",A 1 BHK Apartment in Mumbai with Garden and School nearby.
P19,Ahmedabad,16400000,2,Villa,"Metro access, Gym",A 2 BHK Apartment in Ahmedabad with Metro access and Gym.
P20,Hyderabad,16800000,1,Plot,"Metro access, Swimming Pool, School nearby",A 1 BHK Villa in Hyderabad with Metro access and Swimming Pool and School nearby.
